player_name,player_id,year,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,match_id,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
Diogo Jota,6854,2019,0,2,0.07321428507566452,65,FW,West Ham,Wolverhampton Wanderers,0,2,2020-06-20,11934,401386,0.0775030106306076,0,2,0,0.07321428507566452,0.14128899574279785,0.019426392391324043
Diogo Jota,6854,2019,0,1,0.06016166880726814,76,FW,Wolverhampton Wanderers,Brighton,0,0,2020-03-07,11931,387735,0.0826045498251915,0,1,0,0.06016166880726814,0.14276622235774994,0
Diogo Jota,6854,2019,1,4,1.3384368419647217,81,FWL,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,387613,0.3800327479839325,1,1,1,1.3384368419647217,1.4210907220840454,0
Diogo Jota,6854,2019,2,4,1.6424332857131958,66,FW,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,387327,0.0559997521340847,0,2,2,1.6424332857131958,1.9667352437973022,0.9759283065795898
Diogo Jota,6854,2019,0,1,0.06920874863862991,81,AMC,Wolverhampton Wanderers,Leicester,0,0,2020-02-14,11902,386940,0,0,0,0,0.06920874863862991,0.3685329556465149,0.2993241846561432
Diogo Jota,6854,2019,0,3,0.26774314045906067,72,FWL,Manchester United,Wolverhampton Wanderers,0,0,2020-02-01,11888,386793,0.12778735160827637,0,2,0,0.26774314045906067,0.39553049206733704,0.12778735160827637
Diogo Jota,6854,2019,0,2,0.6994870901107788,11,Sub,Wolverhampton Wanderers,Liverpool,1,2,2020-01-23,11874,386536,0,0,0,0,0.6994870901107788,0.5561398267745972,0
Diogo Jota,6854,2019,0,1,0.045938726514577866,20,Sub,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,385547,0.0679536834359169,0,1,0,0.045938726514577866,0.4707397222518921,0.3568473160266876
Diogo Jota,6854,2019,0,1,0.043455637991428375,77,FW,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,372915,0,0,0,0,0.043455637991428375,0.043455637991428375,0
Diogo Jota,6854,2019,0,2,0.5625975131988525,86,FWL,Wolverhampton Wanderers,Manchester City,3,2,2019-12-27,11832,372653,0.02538968436419964,0,1,0,0.5625975131988525,0.5879871845245361,0
Diogo Jota,6854,2019,0,1,0.12253380566835403,78,FWL,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,371530,0,0,0,0,0.12253380566835403,0.12253380566835403,0
Diogo Jota,6854,2019,0,4,0.1996975690126419,90,FWL,Wolverhampton Wanderers,Tottenham,1,2,2019-12-15,11812,370329,0.1035521849989891,0,2,0,0.1996975690126419,0.3763355612754822,0.18879523873329163
